Country,Education_Index
Afghanistan,0.381
Albania,0.74
Algeria,0.663
Argentina urban,0.871
Armenia,0.778
Australia,0.924
Austria,0.865
Bahrain,0.821
Bangladesh,0.578
Barbados,0.789
Belgium,0.918
Belize,0.64
Benin,0.391
Bolivia,0.745
Botswana,0.665
Brazil,0.709
Brunei,0.688
Bulgaria,0.766
Burundi,0.387
Cambodia,0.494
Cameroon,0.59
Canada,0.906
Central African Republic CAR,0.334
Chili,0.836
China,0.693
Colombia,0.696
Congo Brazzaville,0.62
Congo Democratic Republic,0.506
Costa Rica,0.74
Ivory Coast,0.422
Croatia,0.844
Cuba,0.754
Cyprus,0.866
Czech Republic,0.885
Denmark,0.932
Dominican Republic,0.682
Ecuador,0.712
Egypt,0.687
El Salvador,0.569
Estonia,0.894
Swaziland,0.606
Fiji,0.73
Finland,0.931
France,0.834
Gabon,0.664
Gambia,0.4
Germany,0.957
Ghana,0.536
Greece,0.88
Guatemala,0.488
Guinea,0.362
Guyana,0.649
Haiti,0.496
Honduras,0.52
Hungary,0.827
Iceland,0.959
India,0.569
Indonesia,0.673
Iran,0.75
Iraq,0.567
Ireland,0.889
Israel,0.866
Italy,0.821
Jamaica,0.654
Japan,0.852
Jordan,0.699
Kazakhstan,0.826
Kenya,0.572
South Korea,0.879
Kuwait,0.684
Kyrgyzstan,0.76
Lao,0.481
Latvia,0.904
Lesotho,0.559
Libya,0.648
Lithuania,0.905
Luxembourg,0.826
Malawi,0.494
Malaysia,0.718
Mali,0.25
Mauritania,0.382
Mauritius,0.739
Mexico,0.71
Moldova,0.809
Mongolia,0.717
Morocco,0.607
Mozambique,0.427
Burma,0.552
Namibia,0.568
Nepal,0.501
Netherlands,0.919
New Zealand,0.931
Nicaragua,0.592
Niger,0.244
Norway,0.935
Pakistan,0.367
Panama,0.723
Papua New Guinea,0.474
Paraguay,0.682
Peru,0.745
Philippines,0.654
Poland,0.881
Portugal,0.786
Qatar,0.706
Romania,0.782
Russia,0.849
Rwanda,0.479
Samoa,0.724
Sao Tome & Principe,0.549
Saudi Arabia,0.798
Senegal,0.35
Serbia,0.786
Sierra Leone,0.368
Singapore,0.867
Slovakia,0.843
Slovenia,0.913
South Africa,0.783
Spain,0.848
Sri Lanka,0.754
Sudan,0.365
Sweden,0.922
Switzerland,0.924
Syria,0.397
Tajikistan,0.678
Tanzania,0.426
Thailand,0.727
Togo,0.546
Trinidad & Tobago,0.783
Tunisia,0.671
Turkey,0.794
Tuvalu,0.691
Uganda,0.527
Ukraine,0.741
UAE,0.904
United Kingdom,0.937
United States,0.908
Uruguay,0.784
Venezuela,0.696
Vietnam,0.644
Yemen,0.313
Zambia,0.549
Zimbabwe,0.6
