Country,Infant_Mortality
Zimbabwe,4.057281
Iraq,2.0824757
Brunei,0.82454306
Upper-middle-income countries,1.1504475
Ireland,0.33723667
Bulgaria,0.49956107
Sri Lanka,0.534716
United States,0.54917383
Montserrat,0.6173318
Indonesia,1.695433
Trinidad and Tobago,1.721143
Burkina Faso,4.4803786
Sudan,3.9152477
Iran,1.0655916
Marshall Islands,2.3526077
Burundi,3.1460824
Algeria,1.9743148
Sierra Leone,5.616808
Montenegro,0.21079862
Panama,1.0610428
Saint Vincent and the Grenadines,0.98598176
Israel,0.26968402
British Virgin Islands,1.1649483
Spain,0.2587535
Mongolia,1.1371926
Solomon Islands,1.6518092
Slovakia,0.5079029
Italy,0.23399895
Malawi,2.936188
Uruguay,0.55142933
Brazil,1.2461936
Papua New Guinea,3.1989813
Botswana,3.8248792
Palestine,1.4271338
Cambodia,2.031686
Guinea,6.1548734
Burma,3.4105906
Albania,0.83158934
Samoa,1.2760458
High-income countries,0.41475746
Chad,5.868753
Haiti,4.032779
Chile,0.6200564
Oman,0.83656204
United Kingdom,0.39514723
Guyana,2.3797998
China,0.44513127
Uganda,2.7563071
Switzerland,0.34872866
Guinea-Bissau,4.305592
Colombia,1.0935143
Honduras,1.3280712
Ukraine,0.7783792
Malaysia,0.67527723
Mozambique,4.541541
Sweden,0.20161277
Central African Republic,6.041326
Pakistan,5.012194
Cape Verde,1.1013621
Hungary,0.3155093
UAE,0.39632216
Iceland,0.19351818
Suriname,1.5184858
Canada,0.44341674
Morocco,1.5491406
Luxembourg,0.19888467
Cameroon,4.12499
India,2.4498441
Jamaica,1.8331343
Monaco,0.22716397
Uzbekistan,1.266862
Bahamas,1.1365536
South Africa,2.441754
Mauritius,1.3521817
Anguilla,0.5332237
Lesotho,5.542296
Azerbaijan,1.3325222
Singapore,0.17220704
Saint Kitts and Nevis,1.4289854
Japan,0.17704405
Poland,0.37315816
World,2.7078512
Lebanon,1.5995821
Bahrain,0.7151581
Madagascar,4.417505
Vietnam,1.401164
Zambia,3.0859265
Austria,0.26263183
Liberia,5.256797
Australia,0.31361938
Portugal,0.25587982
Yemen,3.4650888
Libya,1.5929003
Mauritania,3.1021063
Asia,1.694749
Lithuania,0.28410837
Armenia,0.8875105
Low-income countries,4.277486
Qatar,0.4872761
Argentina,0.8175496
Lower-middle-income countries,3.255812
Somalia,6.7839537
Antigua and Barbuda,0.7304681
Latvia,0.2518617
Bangladesh,2.4366615
Laos,3.5165675
Vanuatu,1.4168051
South Sudan,7.261607
Andorra,0.24773584
Rwanda,3.0479224
Romania,0.5390404
Bosnia and Herzegovina,0.53459185
Bolivia,2.0037694
Paraguay,1.5143611
Jordan,1.2239994
Bhutan,1.8524648
Kazakhstan,0.7584923
Moldova,1.3492512
South Korea,0.23041123
Benin,4.6421504
Kenya,3.472551
Peru,1.354243
Mexico,1.0759847
Saint Lucia,1.4253898
Belize,1.0844069
Micronesia (country),2.0772874
Belgium,0.30426034
Kiribati,3.9717314
Kosovo,0.8339234
Venezuela,2.147754
Belarus,0.18836947
South America,1.2387079
Angola,3.82714
Kuwait,0.7577836
Philippines,2.2122204
Barbados,0.9300466
Kyrgyzstan,1.493485
Comoros,3.5653875
Palau,1.9114968
Serbia,0.4457808
Nepal,2.329647
Cyprus,0.28629258
Fiji,2.3819225
Germany,0.30717576
East Timor,3.592704
Tanzania,2.993273
Niue,2.252537
Macedonia,0.28481832
Sao Tome and Principe,0.9413898
Cuba,0.65885746
Tonga,0.80293745
Ecuador,1.1094198
Turks and Caicos Islands,0.4006226
Croatia,0.38625556
Tunisia,1.0555985
Maldives,0.49793696
Ghana,2.8172605
Nicaragua,1.0289079
Ivory Coast,4.661332
European Union (27),0.3112111
Greece,0.31798756
Tajikistan,2.2868772
Egypt,1.6145948
Georgia,0.79514486
Turkmenistan,3.122791
Senegal,3.020778
Dominican Republic,2.841308
North America,0.8454068
France,0.341166
Thailand,0.8047869
Turkey,0.9086665
Denmark,0.3022083
Afghanistan,5.03644
Gabon,2.6495976
Dominica,3.3123446
Malta,0.48409188
San Marino,0.13668369
Togo,3.5851312
Netherlands,0.34663653
Slovenia,0.1829048
Mali,5.755343
DR Congo,4.447165
New Zealand,0.39842337
Gambia,3.3848662
Czech Republic,0.20731346
Finland,0.18189012
Russia,0.3659559
North Korea,1.45355
Europe,0.36064368
Djibouti,4.443628
Grenada,1.6679682
Eritrea,2.5525486
Guatemala,1.7869859
Nigeria,6.0097513
Niger,6.7361474
Tuvalu,1.7129034
Cook Islands,1.1759062
Africa,3.9310958
Syria,1.9031366
Swaziland,4.354938
Nauru,0.8291681
Seychelles,1.3132598
Congo,2.764557
El Salvador,0.91705537
Norway,0.19348931
Namibia,3.841225
Equatorial Guinea,4.9109445
Ethiopia,3.574161
Costa Rica,0.91752434
Oceania,1.0926735
Estonia,0.15979616
Saudi Arabia,0.48824596
