Country,Palma_Ratio
Brazil,3.55
Cameroon,2.07
Rwanda,1.83
Costa Rica,2.55
China,1.52
Malawi,1.72
South Africa,7.01
Suriname,1.77
Sierra Leone,1.5
Cyprus,1.23
Nepal,1.11
UAE,0.89
Mauritania,1.21
Peru,1.87
Lesotho,2.44
Portugal,1.35
Seychelles,1.21
Belize,1.84
Mauritius,1.59
Indonesia,1.45
Malaysia,1.92
Mexico,2.23
Slovakia,0.77
South Sudan,2.28
Zambia,3.49
Mali,1.48
Comoros,2.47
Jamaica,1.85
Paraguay,2.33
Laos,1.75
Canada,1.14
Syria,0.91
Guinea,1.07
El Salvador,1.81
Qatar,1.43
Malta,1.41
Benin,1.39
Tanzania,1.9
Croatia,1.1
Iran,1.51
Argentina,2.11
Turkey,2.36
Botswana,4.12
Germany,1.21
Nigeria,1.35
Senegal,1.53
Timor-Leste,1.05
Bhutan,1.02
Chile,2.18
Barbados,1.35
Burma,1.16
Uganda,2.14
Bangladesh,1.18
Gambia,1.74
Haiti,1.97
Spain,1.28
Nicaragua,2.6
Mozambique,3.07
Finland,0.97
Austria,1.19
Grenada,2.22
Thailand,1.32
Netherlands,0.89
Sudan,1.4
Vanuatu,1.23
Solomon Islands,1.59
Swaziland,4.07
Belgium,0.94
Poland,1.02
Armenia,0.97
France,1.21
Vietnam,1.51
Colombia,4.03
Zimbabwe,3.19
Czech Republic,0.89
Lebanon,1.4
Yemen,1.56
Kosovo,1.61
Samoa,1.76
Kyrgyzstan,0.97
Romania,1.05
Togo,1.66
Burundi,1.63
Ukraine,0.89
Tajikistan,1.52
Latvia,1.34
Saint Lucia,2.26
Montenegro,1.35
Lithuania,1.48
Nauru,1.23
Tunisia,1.35
Honduras,2.54
Palestine,1.51
Switzerland,1.35
Australia,1.29
Serbia,1.25
Egypt,1.06
Japan,1.19
Chad,1.65
Niger,1.32
Gabon,1.65
Fiji,1.14
Djibouti,2.04
Guinea-Bissau,1.32
Estonia,1.11
Ethiopia,1.18
South Korea,1.24
Central African Republic,2.16
Iceland,0.95
Ecuador,2.49
Macedonia,1.27
Sao Tome and Principe,1.95
Morocco,1.83
DR Congo,2.36
Cabo Verde,2.1
Uzbekistan,1.37
Panama,3.24
Guatemala,2.45
India,0.9
Iraq,1.1
Equatorial Guinea,1.71
Kazakhstan,1.08
Liberia,1.44
United States,2.0
Pakistan,1.12
Sweden,1.03
Bolivia,2.06
Dominican Republic,1.76
Georgia,1.34
Norway,0.92
Madagascar,1.58
Sri Lanka,1.66
Moldova,0.96
Mongolia,1.18
Russia,1.27
Italy,1.37
Albania,1.06
Marshall Islands,1.46
Tonga,0.95
Kiribati,0.99
Denmark,1.13
Maldives,1.05
Namibia,5.49
Uruguay,1.85
Luxembourg,1.31
Micronesia,1.83
Greece,1.31
Belarus,0.83
Israel,1.6
Ivory Coast,1.45
Hungary,1.13
Slovenia,0.84
Ireland,1.07
Philippines,1.8
Bulgaria,1.8
Burkina Faso,1.63
United Kingdom,1.22
Angola,3.44
Ghana,2.25
Kenya,1.64
