Country,WID_Top_Wealth_Share
Zimbabwe,66.98
Togo,60.2
Serbia,57.53
Thailand,67.32
Micronesia (country),61.71
Chile,76.79
Honduras,65.22
Azerbaijan,57.89
Middle Africa (WID),74.53
British Virgin Islands,61.55
Haiti,65.3
Senegal,59.82
Guyana,65.26
Tonga,61.71
Middle East (WID),76.61
Anguilla,61.58
Hong Kong,61.19
Tanzania,64.75
Guinea-Bissau,58.54
Tajikistan,58.58
Iran,66.37
Taiwan,61.69
Indonesia,63.05
Marshall Islands,61.85
Sierra Leone,60.47
India,65.93
Mauritania,58.16
Hungary,67.13
Mauritius,60.7
Chad,60.12
Seychelles,65.52
Antigua and Barbuda,61.54
Iceland,56.67
Mexico,78.4
Brazil,77.81
Saudi Arabia,73.3
Andorra,57.37
Bosnia and Herzegovina,56.96
Greece,60.75
Samoa,61.83
Turkmenistan,62.12
Morocco,61.24
Comoros,63.37
Gibraltar,57.37
Turks and Caicos Islands,61.6
Greenland,61.74
Saint Vincent and the Grenadines,61.67
Ghana,62.1
Mozambique,78.32
Tuvalu,61.72
Germany,58.45
Burma,58.83
Montserrat,61.66
San Marino,57.37
China,68.02
Mongolia,58.81
Moldova,56.95
Guinea,57.82
Trinidad and Tobago,65.25
Monaco,61.31
Sao Tome and Principe,63.83
Guernsey,57.37
Tunisia,66.54
Angola,76.84
Guatemala,65.23
Botswana,77.85
Bahamas,65.22
Turkey,75.6
Colombia,78.95
Montenegro,57.42
Austria,61.95
Central Asia (WID),68.02
Syria,74.1
South & South-East Asia (WID),65.33
Liechtenstein,59.31
Kosovo,56.76
Asia (excluding Middle East) (WID),69.34
Spain,57.16
Aruba,61.62
Burundi,60.53
Kiribati,61.85
South-East Asia (WID),64.58
Kenya,62.82
Lithuania,57.15
Somalia,62.36
Sri Lanka,62.2
Luxembourg,59.12
Cape Verde,62.32
Canada,58.01
Libya,60.55
Brunei,57.6
Cambodia,59.64
South Asia (WID),66.33
Asia (WID),70.03
Lebanon,73.47
Lesotho,62.73
Cameroon,60.8
Latin America (WID),74.61
South Korea,58.99
Kuwait,59.59
South Africa region (WID),84.66
Laos,61.34
Liberia,58.89
South Sudan,63.07
Kyrgyzstan,58.93
South Africa,85.75
Kazakhstan,58.98
MENA (WID),76.28
Solomon Islands,61.82
Isle of Man,57.37
Sweden,59.4
Bulgaria,58.82
Central African Republic,63.51
Israel,62.77
Sint Maarten (Dutch part),61.61
Switzerland,62.77
Maldives,58.1
Sub-Saharan Africa (WID),70.27
Ireland,65.59
Argentina,58.97
Mali,59.44
Singapore,62.57
Iraq,59.57
Malta,53.47
Slovakia,49.49
Malaysia,60.03
Italy,56.15
Malawi,61.46
Suriname,65.25
Jamaica,65.28
Slovenia,57.2
Australia,57.21
Japan,59.0
Cayman Islands,61.56
Madagascar,63.98
Armenia,58.3
Sudan,59.46
Burkina Faso,60.79
Macao,58.46
Jersey,57.37
Jordan,64.6
Namibia,79.75
Grenada,61.51
Latvia,60.88
Philippines,60.23
Qatar,75.79
Western Europe (WID),58.27
North Africa (WID),67.99
Estonia,66.66
Nigeria,60.52
Swaziland,80.34
Belarus,56.77
Cyprus,66.71
East Africa (WID),66.89
Albania,56.95
Croatia,56.92
Uzbekistan,59.76
Romania,58.32
Bangladesh,58.62
Afghanistan,58.33
Bhutan,58.55
Niger,59.55
Ethiopia,59.71
Uruguay,77.13
Norway,57.6
Pakistan,58.79
Europe (WID),59.9
Dominican Republic,59.83
Nicaragua,65.3
Belize,68.54
European Union (WID),59.26
Oman,74.88
Eritrea,59.73
Vanuatu,61.78
Oceania (WID),62.44
Macedonia,56.54
West Africa (WID),63.12
Portugal,60.04
Curacao,61.67
Ecuador,59.54
Eastern Europe (WID),61.87
Africa (WID),72.18
North Korea,58.74
Benin,59.05
Poland,61.91
Egypt,62.69
East Timor,58.36
Vietnam,59.07
Puerto Rico,61.65
El Salvador,58.6
Bermuda,61.79
Barbados,64.4
West Asia (WID),70.99
Cuba,59.41
Venezuela,66.14
North America and Oceania (WID),69.43
East Asia (WID),69.1
Equatorial Guinea,66.63
Congo,74.33
North America (WID),70.2
United States,71.24
Russia,66.66
Ivory Coast,70.41
Yemen,78.1
Djibouti,62.85
France,59.7
Rwanda,68.78
Paraguay,65.27
Costa Rica,64.19
UAE,62.45
Nepal,58.63
Denmark,50.06
French Polynesia,61.77
Palestine,64.84
Zambia,74.74
Ukraine,57.72
Saint Kitts and Nevis,65.13
Panama,65.29
Gabon,58.95
Bonaire Sint Eustatius and Saba,61.65
DR Congo,68.73
Nauru,61.74
Gambia,60.98
Uganda,66.81
Papua New Guinea,60.06
Saint Lucia,61.64
Bahrain,76.57
Georgia,62.55
Belgium,52.29
Czech Republic,58.66
Netherlands,45.44
Peru,76.79
Algeria,63.31
Russia and Central Asia (WID),67.2
Bolivia,65.32
Dominica,61.57
Finland,55.91
Fiji,61.73
Palau,61.84
New Zealand,57.19
United Kingdom,57.15
New Caledonia,61.81
