Country,GDP_Per_Capita,Life_Expectancy,Infant_Mortality,Gini_Index
"Middle East, North Africa, Afghanistan & Pakistan",6265.44445247452,72.0839412410497,17.8,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2971.05462651558,71.2758849884582,34.1207734088251,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2973.77496155262,71.3194560888195,34.2896652390574,
Albania,11377.7757431099,79.602,8.3,29.4
Algeria,5752.99076651465,76.261,19.7,
Andorra,49303.6491674336,84.041,2.5,
Angola,2665.87444776753,64.617,38.3,
Antigua and Barbuda,23542.4526945578,77.598,7.3,
Argentina,13969.7836603737,77.395,8.2,42.4
Armenia,8556.21406956719,77.4658536585366,8.9,27.2
Aruba,39498.5941293797,76.353,,
Australia,64603.9856308464,83.0512195121951,3.1,33.8
Austria,58268.8787651601,81.5414634146342,2.6,31.2
Azerbaijan,7283.8499076179,74.429,13.3,
Bahamas,39455.4466548546,74.552,11.4,
Bahrain,29653.5682731534,81.284,7.2,
Bangladesh,2593.41611680774,74.672,24.4,30.9
Barbados,26544.8707282621,76.178,9.3,
Belarus,8317.63399913792,74.1837804878049,1.9,24.4
Belgium,56614.5679499036,82.3975609756098,3.0,26.8
Belize,7681.24400583113,73.566,10.8,
Benin,1485.38018885134,60.774,46.4,34.4
Bermuda,142855.374713782,82.309,,
Bolivia,4421.16609889999,68.581,20.0,42.1
Bosnia and Herzegovina,9358.78768951134,77.85,5.3,
Botswana,7695.75319445165,69.163,38.2,
Brazil,10310.5488778166,75.848,12.5,51.6
Brunei,33153.4738913513,75.327,8.2,
Bulgaria,17596.0173663521,75.7073170731707,5.0,39.5
Burkina Faso,981.992649769081,61.092,44.8,37.4
Burundi,219.424830882698,63.651,31.5,37.5
Cabo Verde,5192.48157325878,76.059,11.0,
Cambodia,2627.87969756224,70.668,20.3,
Cameroon,1830.00833684727,63.7,41.2,42.2
Canada,54340.3477224733,81.6465853658537,4.4,31.1
Central African Republic,516.160999996036,57.408,60.4,43.0
Chad,961.55975562506,55.069,58.7,37.4
Chile,16709.8893972307,81.167,6.2,43.0
China,13303.1481543868,77.953,4.5,36.0
Colombia,7919.20886825345,77.725,10.9,53.9
Comoros,1662.75663312504,66.777,35.7,
DR Congo,649.383338556725,61.895,44.5,44.7
Congo,2482.2489948456,65.772,27.6,
Costa Rica,18587.1532203482,80.799,9.2,45.8
Ivory Coast,2727.8935220697,61.944,46.6,35.3
Croatia,24050.4397933135,78.4731707317073,3.9,30.1
Curacao,22832.8953958667,76.8,,
Cyprus,38674.29296875,81.648,2.9,31.8
Czech Republic,31823.3078290564,79.8780487804878,2.1,25.7
Denmark,71026.4832271897,81.8536585365854,3.0,29.9
Djibouti,3552.72335079222,65.987,44.4,
Dominica,10405.2787777582,71.132,33.1,
Dominican Republic,10875.6618443092,73.72,28.4,39.0
Ecuador,6874.705739766,77.392,11.1,45.2
Egypt,3338.47371395895,71.633,16.1,28.5
El Salvador,5579.65969165029,72.099,9.2,39.8
Equatorial Guinea,6745.40013244916,63.707,49.1,38.5
Estonia,31428.3547816104,78.490243902439,1.6,30.7
Swaziland,3909.55892378182,64.123,43.5,
Ethiopia,1133.88279681719,67.315,35.7,31.1
Faroe Islands,74119.6607553879,83.1439024390244,,
Fiji,6425.74151715712,67.316,23.8,
Finland,53149.7671934051,81.6853658536585,1.8,27.4
